date,value,series_id,country,source,frequency,release_date,ingested_at
1881-12-01,15.96,shiller_pe_proxy,us,multpl,monthly,1881-12-01,2026-03-23 03:32:54.406941+00:00
1882-01-01,15.68,shiller_pe_proxy,us,multpl,monthly,1882-01-01,2026-03-23 03:32:54.406941+00:00
1882-02-01,15.15,shiller_pe_proxy,us,multpl,monthly,1882-02-01,2026-03-23 03:32:54.406941+00:00
1882-03-01,15.08,shiller_pe_proxy,us,multpl,monthly,1882-03-01,2026-03-23 03:32:54.406941+00:00
1882-04-01,14.92,shiller_pe_proxy,us,multpl,monthly,1882-04-01,2026-03-23 03:32:54.406941+00:00
1882-05-01,14.56,shiller_pe_proxy,us,multpl,monthly,1882-05-01,2026-03-23 03:32:54.406941+00:00
1882-06-01,14.33,shiller_pe_proxy,us,multpl,monthly,1882-06-01,2026-03-23 03:32:54.406941+00:00
1882-07-01,15.23,shiller_pe_proxy,us,multpl,monthly,1882-07-01,2026-03-23 03:32:54.406941+00:00
1882-08-01,15.53,shiller_pe_proxy,us,multpl,monthly,1882-08-01,2026-03-23 03:32:54.406941+00:00
1882-09-01,16.07,shiller_pe_proxy,us,multpl,monthly,1882-09-01,2026-03-23 03:32:54.406941+00:00
1882-10-01,15.76,shiller_pe_proxy,us,multpl,monthly,1882-10-01,2026-03-23 03:32:54.406941+00:00
1882-11-01,15.19,shiller_pe_proxy,us,multpl,monthly,1882-11-01,2026-03-23 03:32:54.406941+00:00
1882-12-01,15.38,shiller_pe_proxy,us,multpl,monthly,1882-12-01,2026-03-23 03:32:54.406941+00:00
1883-01-01,15.27,shiller_pe_proxy,us,multpl,monthly,1883-01-01,2026-03-23 03:32:54.406941+00:00
1883-02-01,14.75,shiller_pe_proxy,us,multpl,monthly,1883-02-01,2026-03-23 03:32:54.406941+00:00
1883-03-01,15.05,shiller_pe_proxy,us,multpl,monthly,1883-03-01,2026-03-23 03:32:54.406941+00:00
1883-04-01,15.47,shiller_pe_proxy,us,multpl,monthly,1883-04-01,2026-03-23 03:32:54.406941+00:00
1883-05-01,15.33,shiller_pe_proxy,us,multpl,monthly,1883-05-01,2026-03-23 03:32:54.406941+00:00
1883-06-01,15.91,shiller_pe_proxy,us,multpl,monthly,1883-06-01,2026-03-23 03:32:54.406941+00:00
1883-07-01,15.96,shiller_pe_proxy,us,multpl,monthly,1883-07-01,2026-03-23 03:32:54.406941+00:00
1883-08-01,15.2,shiller_pe_proxy,us,multpl,monthly,1883-08-01,2026-03-23 03:32:54.406941+00:00
1883-09-01,15.49,shiller_pe_proxy,us,multpl,monthly,1883-09-01,2026-03-23 03:32:54.406941+00:00
1883-10-01,15.05,shiller_pe_proxy,us,multpl,monthly,1883-10-01,2026-03-23 03:32:54.406941+00:00
1883-11-01,15.41,shiller_pe_proxy,us,multpl,monthly,1883-11-01,2026-03-23 03:32:54.406941+00:00
1883-12-01,14.89,shiller_pe_proxy,us,multpl,monthly,1883-12-01,2026-03-23 03:32:54.406941+00:00
